Affiliation,Percentage of authors,Authors
University of Cambridge,0.08%,11
University of Cambridge Computing Service,0.01%,1
University of Campinas,0.02%,2
University of Central Florida,0.01%,1
University of Chicago,0.06%,8
University of Chinese Academy,0.01%,1
University of Cincinnati,0.02%,2
University of Coimbra,0.05%,7
University of Colorado,0.01%,1
University of Colorado at Boulder,0.01%,1
University of Debrecen,0.01%,1
University of Delaware,0.09%,12
"University of Delaware, Computer and Information Sciences Department",0.01%,1
University of Deleware,0.01%,1
University of Duisburg-Essen,0.01%,1
"University of Duisburg-Essen, Institute for Experimental Mathematics",0.02%,3
University of Edinburgh,0.02%,3
University of Electro Communications,0.01%,1
University of Electro-Communications,0.01%,1
University of Electronic Science,0.04%,5
University of Electronic Science and Technology of China,0.01%,1
University of Erlangen,0.01%,1
University of Erlangen-Nuremberg,0.01%,1
University of Essen,0.01%,1
University of Essex,0.02%,2
University of Ferrara,0.02%,3
University of Florence,0.02%,2
University of Florida,0.01%,1
University of Fribourg,0.02%,2
University of Glasgow,0.05%,7
University of Glasgow Singapore,0.01%,1
University of Goettingen,0.06%,8
University of Granada,0.02%,2
University of Haifa,0.01%,1
University of Haifa and Amazon Web Services,0.01%,1
University of Haifa and Intel Corporation,0.01%,1
University of Hamburg,0.01%,1
University of Hawaii at Hilo,0.01%,1
University of Heidelberg,0.01%,1
University of Helsinki,0.07%,9
University of Houston,0.01%,1
University of Hyogo,0.01%,1
University of Illinois,0.01%,1
University of Illinois at Chicago,0.01%,1
University of Innsbruck,0.02%,3
University of Kaiserslautern,0.02%,3
University of Karlsruhe,0.02%,2
University of Kent,0.01%,1
University of Kentucky,0.01%,1
University of Koblenz,0.01%,1
University of Konstanz,0.01%,1
University of Lancaster,0.01%,1
University of Lecce,0.02%,2
University of Liege,0.01%,1
University of Linz,0.01%,1
University of Liverpool,0.01%,1
University of Luebeck,0.02%,2
University of Luxembourg,0.08%,10
University of Luxembourg and Inria,0.01%,1
University of Manchester,0.01%,1
University of Mannheim,0.01%,1
University of Maryland,0.06%,8
University of Melbourne,0.01%,1
University of Memphis,0.01%,1
University of Michigan,0.06%,8
University of Michigan Library IT,0.01%,1
University of Milan,0.01%,1
University of Minnesota,0.02%,2
University of Mons (UMONS),0.01%,1
University of Montenegro,0.01%,1
University of Murcia,0.08%,11
University of Namur,0.02%,3
University of Nantes,0.01%,1
University of Naples Federico II,0.02%,2
University of Napoli,0.05%,6
"University of Nebraska, Omaha",0.01%,1
University of Nebraska-Lincoln,0.01%,1
University of New South Wales,0.01%,1
University of New Hampshire,0.01%,1
University of New Hampshire InterOperability Laboratory,0.01%,1
"University of New Hampshire, Interoperability Lab (UNH-IOL)",0.02%,2
University of New Mexico,0.01%,1
University of New South Wales,0.02%,2
University of Newcastle,0.01%,1
University of Newcastle upon Tyne,0.01%,1
University of North Texas,0.01%,1
University of Notre Dame,0.01%,1
University of Novi Sad,0.01%,1
University of Oregon,0.03%,4
University of Oregon/Cisco Systems,0.01%,1
University of Oslo,0.07%,9
University of Osnabrueck,0.01%,1
University of Ottawa,0.02%,3
University of Oulou,0.01%,1
University of Oulu,0.05%,7
University of Oviedo,0.01%,1
University of Oxford,0.05%,6
University of Paderborn,0.01%,1
University of Padova,0.02%,2
University of Palermo,0.01%,1
University of Paris-Diderot,0.01%,1
University of Patras,0.06%,8
University of Pennsylvania,0.03%,4
University of Perugia,0.02%,2
University of Piraeus,0.01%,1
University of Pisa,0.02%,3
University Of Plymouth,0.01%,1
University of Portsmouth,0.01%,1
University of Quebec in Montreal,0.01%,1
University of Reggio Calabria,0.02%,2
University of Rome Tor Vergata,0.01%,1
University of Rostock,0.01%,1
University of Salford,0.01%,1
University of Salzburg,0.03%,4
University of Science and,0.01%,1
University of Seoul,0.02%,3
University of South Florida,0.01%,1
University of Southampton,0.03%,4
University of Southern California,0.01%,1
University of Southern California/ISI,0.02%,2
University of Split,0.01%,1
University of St Andrews,0.01%,1
University of St. Andrews,0.01%,1
University of Stirling,0.02%,2
University of Strathclyde,0.02%,2
University of Stuttgart,0.05%,6
University of Surrey,0.07%,9
University of Surrey 5/6GIC,0.01%,1
University of Surrey 5GIC,0.01%,1
University of Surrey ICS,0.01%,1
University of Surrey ISC,0.01%,1
University of Sussex,0.01%,1
University of Suwon,0.01%,1
University of Tennessee,0.01%,1
University of Texas,0.02%,2
University of Texas at Austin,0.01%,1
University of Texas at Dallas,0.02%,2
University of the Western Cape,0.01%,1
University of Tokyo,0.02%,3
University of Toronto,0.02%,2
University of Trento,0.02%,2
University of Tuebingen,0.08%,11
University of Twente,0.08%,10
University of Twente/Ericsson,0.01%,1
University of Ulm,0.01%,1
University of Utah,0.01%,1
University of Utrecht,0.01%,1
University of Vale do Rio dos Sinos,0.01%,1
University of WA,0.01%,1
University of Warsaw,0.01%,1
University of Washington,0.08%,11
University of Waterloo,0.05%,6
"University of Waterloo, Zcash Foundation",0.01%,1
University of Wisconsin,0.03%,4
University of Wisconsin Milwaukee,0.02%,2
University of Wuerzburg,0.05%,6
University of Wurzburg,0.01%,1
University of York,0.02%,2
University of Zagreb,0.04%,5
University of Zaragoza,0.02%,3
University of Zilina,0.01%,1
University of Zurich,0.04%,5
University Politehnica of Bucharest,0.03%,4
University Tor Vergata,0.01%,1
Universität Bremen,0.03%,4
Universität Bremen TZI,0.02%,3
Université catholique de Louvain,0.01%,1
Université de Liège,0.02%,3
Université de Montréal,0.01%,1
"Université Paris-Saclay, CEA, LIST",0.01%,1
Unix-AG Universitaet Hannover,0.01%,1
UNL,0.01%,1
UNLP Argentina,0.01%,1
UnrealIRCd,0.01%,1
UNSW,0.02%,2
UNSW Sydney,0.01%,1
UO,0.01%,1
UoG,0.01%,1
UPB,0.02%,2
UPC,0.03%,4
UPC-BarcelonaTech,0.03%,4
UPC/BarcelonaTech,0.02%,2
UPC/i2CAT,0.02%,3
UPenn,0.01%,1
UPM,0.03%,4
UPMC,0.01%,1
Uppsala University,0.02%,2
Upsec,0.02%,2
UPV,0.02%,2
UPVLC,0.02%,2
UQAM University,0.01%,1
US Army,0.01%,1
US Army CERDEC,0.02%,3
US Bank,0.01%,1
US Cellular,0.01%,1
US Geological Survey,0.01%,1
US Ignite,0.01%,1
US Naval Research Laboratory,0.01%,1
US NIST,0.02%,3
US Robotics,0.01%,1
US Robotics Access Corp.,0.01%,1
US VRS Providers,0.01%,1
USA National Institute of Standards and Technology,0.02%,3
USA NIST,0.03%,4
USAA,0.01%,1
USC,0.09%,12
USC Information Sciences Institute,0.02%,3
USC-ISI,0.01%,1
USC/Information Sciences,0.02%,3
USC/Information Sciences Institute,0.02%,3
USC/ISI,0.17%,23
USCERT,0.01%,1
USCL,0.01%,1
Users,0.01%,1
UST Global,0.01%,1
USTC,0.05%,7
Utah State University,0.01%,1
Utah Valley State College,0.01%,1
UTD,0.01%,1
UTexas,0.01%,1
Utfors AB,0.01%,1
"UTFPR, Brazil",0.01%,1
Utimaco IS,0.01%,1
UTN FRH,0.01%,1
UTN-FRM/Aalto,0.01%,1
UTN/FRH,0.02%,2
UTokyo,0.01%,1
UtopiaCompression Corporation,0.01%,1
Utrecht University,0.01%,1
UTStarcom,0.01%,1
UUNET,0.05%,7
UUNET (MCI Worldcom),0.04%,5
UUNET Technologies,0.05%,6
UUNET/WorldCom,0.01%,1
UWisc-Mad,0.01%,1
V. Heinau,0.01%,1
V. Hilt,0.01%,1
V. Narayanan,0.02%,2
V. Paxson,0.01%,1
V434 Project,0.01%,1
VA,0.01%,1
VA Linux Systems,0.01%,1
VAF.NET Internet Consulting,0.01%,1
Vail Systems,0.01%,1
ValiCert,0.02%,2
Valimail,0.03%,4
Vallona,0.01%,1
Van Dyke Technologies,0.02%,3
Vancouver Webpages,0.01%,1
vanderstok consultancy,0.01%,1
VanDyke Software,0.02%,2
vArmour,0.01%,1
Varsa Networks,0.01%,1
Vasco,0.01%,1
Vasona Networks,0.02%,2
Vaughan Enterprises,0.01%,1
VB NetConsult,0.01%,1
Vecima,0.01%,1
Velocix,0.01%,1
Velocix (Alcatel-Lucent),0.03%,4
Venafi,0.02%,2
Vencore Labs,0.02%,2
Venkitaraman,0.02%,2
Venture Cryptography.,0.01%,1
Veraz Networks,0.01%,1
Veridify Security,0.01%,1
Verilink,0.01%,1
Verio,0.02%,3
VeriSign,0.35%,46
Verisign Labs,0.08%,11
Verismart Software,0.01%,1
Verison,0.01%,1
Verison Business,0.01%,1
Verivue,0.02%,2
Verivue Inc.,0.01%,1
Veriwave,0.02%,2
Verizon,0.36%,48
Verizon Business,0.01%,1
Verizon Business Systems,0.01%,1
Verizon Communications,0.08%,10
Verizon Communications Inc. (VZ),0.01%,1
Verizon Federal Network Systems,0.01%,1
Verizon Internet Services,0.01%,1
Verizon Laboratories,0.02%,3
Verizon Labs,0.04%,5
Verizon Media,0.01%,1
Verizon Networks,0.01%,1
Verizon Wireless,0.04%,5
Verizon/NASA GRC,0.01%,1
Versa Networks,0.01%,1
Versatica,0.02%,2
Vertical Networks,0.02%,2
Verve,0.01%,1
Verve Interactive Pty,0.01%,1
Veryx Technologies,0.02%,2
Verzion Global Networks,0.01%,1
Vesa Torvinen,0.01%,1
VESvault Corp,0.01%,1
VGEC,0.01%,1
Vi,0.02%,2
Viagenie,0.06%,8
Viagenie/SANA,0.02%,2
Viasat,0.02%,2
Viataal,0.01%,1
ViaThinkSoft,0.01%,1
Vibrant Solutions,0.01%,1
Victoria University of Wellington,0.01%,1
Video Services Forum,0.02%,2
VideoLAN project,0.01%,1
VideoServer Corp.,0.01%,1
Videotron,0.01%,1
Videotron G.P.,0.01%,1
Vidiator Technology US,0.01%,1
Vidyo,0.03%,4
Vienna University of Technology,0.01%,1
Vieo,0.01%,1
Vigil Security,0.01%,1
Vigil Securiy,0.01%,1
Vigilsec,0.01%,1
Villamicro,0.01%,1
Villanova University,0.02%,3
Vinca Corporation,0.01%,1
Vinci Systems,0.01%,1
VineGen,0.02%,2
vIPtela,0.02%,3
Virata Corporation,0.02%,2
Virgin Media,0.01%,1
Virginia Tech,0.02%,2
Viris,0.01%,1
Virtu,0.01%,1
virtual-presence.org,0.01%,1
Virtualized,0.01%,1
Vishal Sharma,0.02%,2
Visionist,0.01%,1
VisionTech,0.01%,1
Vitesse,0.01%,1
Vivace Networks,0.02%,3
Vivaldi Technologies AS,0.01%,1
Vixie Enterprises,0.01%,1
vLine,0.01%,1
VMware,0.26%,35
VN Telecom Consultancy,0.01%,1
VOCAL Technologies,0.02%,3
Vocoder Speech Qualcomm,0.02%,2
vocTone,0.01%,1
Vodafone,0.13%,17
Vodafone D2,0.01%,1
Vodafone Espana,0.01%,1
Vodafone Group,0.04%,5
Vodafone Group Networks,0.01%,1
VODAFONE SPAIN,0.01%,1
Vodaphone,0.01%,1
Vodaphone Airtouch,0.01%,1
Voicetronix,0.01%,1
VoIP.co.uk,0.02%,2
VOIPFUTURE,0.01%,1
Volkswagen Infotainment,0.01%,1
Vollbrecht Consulting,0.01%,1
Volta,0.01%,1
Volta Networks,0.02%,2
Voltage Security,0.02%,3
Voxeo,0.02%,3
Voxpath Networks,0.01%,1
VPN Consortium,0.01%,1
VPNC,0.01%,1
VPNet Technologies,0.02%,2
Vrije Universiteit Amsterdam,0.01%,1
Vrije Universiteit Brussel,0.01%,1
Vrizon,0.01%,1
VSS Monitoring,0.01%,1
VT iDirect,0.01%,1
VTT Electronics,0.01%,1
VTT Technical Research Centre of,0.01%,1
VTT Technical Research Centre of Finland,0.02%,2
W. Adamson,0.01%,1
W. Britto,0.01%,1
W. Diss,0.01%,1
W. Polk,0.01%,1
W. Townsley,0.01%,1
w. Zhang,0.02%,2
W3,0.01%,1
W3C,0.12%,16
W3C CEO,0.01%,1
W3C URI Interest Group,0.02%,2
W3C/Canon,0.01%,1
W3C/INRIA,0.01%,1
W3C/INRIA/MIT,0.01%,1
W3C/Keio University,0.01%,1
W3C/MIT,0.04%,5
W3C/MIT/UNIVE,0.01%,1
W3C/Volantis,0.01%,1
Wachovia,0.01%,1
Waikato University,0.02%,2
WAIS,0.02%,3
Wall Data,0.01%,1
Wampumpeag,0.01%,1
Wang Laboratories,0.01%,1
Waseda University,0.03%,4
Washington State University,0.01%,1
Washington University,0.01%,1
WaterCove Networks,0.02%,3
WaterSprings.ORG,0.01%,1
Watsen Networks,0.01%,1
Watteco.,0.01%,1
Web3D Consortium,0.01%,1
webMethods,0.01%,1
WebPKI.org,0.01%,1
webrtchacks,0.01%,1
Webster Computer,0.01%,1
Webstorage,0.01%,1
Webtide,0.02%,2
WebTV Networks,0.02%,2
webwasher AG,0.01%,1
webwasher.com,0.01%,1
WebWeaving,0.01%,1
WebWeaving Internet Engineering,0.01%,1
Wei Li,0.01%,1
Wei Sun,0.01%,1
Well-Typed,0.01%,1
Wellcome Sanger Institute,0.01%,1
Wellfleet,0.01%,1
Wellfleet Communications,0.03%,4
Wells Fargo,0.01%,1
Wellstorm Development,0.01%,1
Wenzhou-Kean University,0.01%,1
Werk Mikro Systems,0.01%,1
Werner Management Services e.U.,0.01%,1
Wes Rishel Consulting,0.01%,1
Western Mining Company Limited,0.01%,1
WeSync.com,0.01%,1
WG Chair,0.02%,2
"WGSI, A Getronics Company",0.01%,1
WHOI,0.01%,1
Wi-SUN Alliance,0.01%,1
WiChorus,0.02%,2
Wickr,0.01%,1
WIDE,0.03%,4
WIDE and INRIA,0.01%,1
WIDE at Keio University,0.01%,1
WIDE Project,0.05%,7
WIDE Project and INRIA,0.01%,1
Wild Packets,0.01%,1
Wildbear Consulting,0.01%,1
William A. Simpson,0.01%,1
WilmerHale,0.01%,1
Wind River,0.02%,2
Wind River Systems,0.02%,3
Windriver,0.01%,1
Windrock,0.01%,1
Windy Hill Systems,0.01%,1
Wingaa,0.01%,1
WINGS,0.01%,1
Wink Communications,0.01%,1
"WINLAB, Rutgers University",0.02%,3
Winterb Consulting Services,0.01%,1
Wipro Limited,0.01%,1
Wipro Systems,0.01%,1
Wipro Technologies,0.05%,7
Wire,0.03%,4
Wireless Broadband Alliance,0.01%,1
Wireless Network Laboratory,0.02%,2
Wireless Telcom Consultant,0.01%,1
Wireshark Foundation,0.01%,1
Wirtschaftsuniversitaet,0.01%,1
Wissenschaftszentrum Berlin,0.01%,1
WJR Consulting,0.01%,1
WMN Research Group,0.05%,6
"WMN Research Group, Kingston University London",0.03%,4
WMware,0.01%,1
Wonder Hamster,0.01%,1
Wonder Hamster Internetworking,0.01%,1
Word to the Wise,0.02%,2
Workday Incorporated,0.01%,1
WorkingCode,0.01%,1
Workonline,0.01%,1
Workonline Communications,0.01%,1
World Wide Web Consortium,0.02%,3
WorldCom,0.08%,10
WorldCom Advanced Networks,0.01%,1
Worldcom/Jet Propulsion Laboratory,0.01%,1
WorldGate Communications,0.01%,1
Worldsensing,0.01%,1
Worldtalk,0.01%,1
Woven Systems,0.01%,1
Wroclaw University of Technology,0.02%,2
WRQ,0.01%,1
WU-FTPD Development Group,0.01%,1
WU-Wien,0.01%,1
Wuxi Institute of Technology,0.01%,1
www.sutton-signwriting.io,0.01%,1
X-OBI,0.01%,1
X. Li,0.01%,1
X. W. Zhou,0.01%,1
X. Wang,0.01%,1
X.N.Miao,0.01%,1
XACCT Technologies,0.02%,2
Xapiens Corporation,0.01%,1
Xavient,0.01%,1
Xbind,0.02%,3
Xcert,0.02%,3
XConnect,0.01%,1
XConnect Global Networks,0.02%,2
Xebeo,0.01%,1
Xebeo Communications,0.02%,2
Xedia Corp.,0.01%,1
Xelerance,0.01%,1
Xerox,0.05%,6
Xerox Corp.,0.02%,3
Xerox Corporation,0.14%,19
Xerox Palo Alto Research Center,0.01%,1
Xerox PARC,0.06%,8
Xerox PARC/MIT LCS,0.02%,2
Xi'an Jiaotong University,0.02%,2
Xiamen University,0.01%,1
Xian Jiaotong University,0.02%,2
Xian-wei Zhou,0.01%,1
Xiao-Hua Chen,0.01%,1
Xiao-Ming Guang,0.01%,1
Xiaofeng Xu,0.01%,1
XiaoPeng Yang,0.01%,1
Xiaoqian Li,0.01%,1
Xidian Univ.,0.03%,4
Xidian University,0.08%,10
Xilinx,0.02%,2
Xiph,0.03%,4
Xiph.Org,0.02%,3
Xiph.Org Foundation,0.04%,5
XIson,0.01%,1
XJTU,0.02%,3
XL Axiata,0.01%,1
XMLgrrl.com,0.01%,1
XMPP Standards Foundation,0.01%,1
Xoriant Corporation,0.01%,1
XSF,0.01%,1
XtraTelecom S.A.,0.02%,2
Xunlei network,0.01%,1
Xura,0.02%,2
xxx,0.01%,1
Xylogics,0.02%,2
Xyplex,0.02%,2
Xythos,0.01%,1
Xythos Software,0.01%,1
xyzzy,0.01%,1
Y&D ISG,0.01%,1
Y-H. Choi,0.01%,1
Y. Jiang,0.02%,2
Y. Yang,0.01%,1
Y.Bo,0.02%,3
Y.P.Zhu,0.01%,1
Yahoo,0.08%,10
Yahoo!,0.02%,2
Yakov Rekhter,0.01%,1
Yale,0.01%,1
Yale University,0.13%,17
Yandex,0.05%,6
Yanzi Networks,0.01%,1
Yanzi Networks AB,0.01%,1
YAS Corporation,0.02%,3
YAuth.JP,0.01%,1
YES Europe AG,0.01%,1
yes.com,0.02%,2
YES.com AG,0.01%,1
YFS,0.01%,1
YingChun Xu,0.01%,1
YoGoKo,0.01%,1
Yokogawa Electric Corp.,0.05%,7
Yokogawa Electric Corporation,0.02%,2
Yong Xue UUNet/WorldCom,0.01%,1
Yong-Jin Kim,0.01%,1
Yorktown Museum of Asian Art,0.01%,1
Yoyodyne,0.01%,1
YRP Ubiquitous Networking Lab,0.01%,1
Yubico,0.02%,3
YumaWorks,0.01%,1
Yunqi Academy,0.01%,1
Yuzo Taenaka,0.01%,1
Yves T'Joens,0.02%,3
Z. Lei,0.01%,1
Z. Li,0.03%,4
Z. M. Cheng,0.01%,1
Z. Wang,0.02%,2
Z. Xie,0.02%,3
Z. Zhang,0.01%,1
Z. Zhuang,0.02%,3
Z2 Sagl,0.01%,1
Zaffire,0.01%,1
Zalando SE,0.01%,1
Zambeel,0.01%,1
Zarlink,0.01%,1
Zarlink Semiconductor,0.02%,2
Zayed University,0.01%,1
Zcash Foundation,0.01%,1
ZDNS,0.04%,5
Zebra Technologies,0.02%,2
Zededa,0.02%,3
Zelestra,0.01%,1
Zensys,0.01%,1
Zephyr Development,0.01%,1
zev.net,0.01%,1
ZF Friedrichshafen AG,0.01%,1
Zfone Project,0.01%,1
Zhejiang Gongshang Univ.,0.02%,2
Zhejiang Gongshang University,0.08%,11
Zhejiang University,0.02%,3
Zhejiang University of Technology,0.02%,3
Zhengzhou Institute of Information,0.01%,1
Zhengzhou University,0.01%,1
Zhi-Wei Yan,0.01%,1
Zhone Technologies,0.01%,1
Zhongguancun Laboratory,0.10%,13
Zhongshan University,0.02%,2
Zimbra,0.01%,1
Zink Magical Contraptions,0.01%,1
zkSecurity,0.01%,1
ZmartZone IAM,0.01%,1
Znyx,0.01%,1
ZNYX Networks,0.01%,1
Zocalo,0.01%,1
Zolera,0.01%,1
Zolera Systems,0.01%,1
Zscaler,0.01%,1
ZST University,0.01%,1
ZTE,0.56%,74
ZTE Corporation,0.02%,2
ZTE Company,0.01%,1
ZTE Corp,0.03%,4
ZTE Corp.,0.11%,15
ZTE Corpoporation,0.10%,13
ZTE Corporation,1.23%,163
ZTE Corporation P.R.China,0.01%,1
ZTE Corporation.,0.01%,1
"ZTE Inc., ZTE Plaza",0.01%,1
ZTE TX,0.01%,1
ZTE USA,0.05%,6
ZTE/ENST Paris,0.01%,1
Zyfer,0.04%,5
Zynga,0.02%,3
École nationale des Chartes,0.01%,1
